market,volume_24h,num_trades,num_whales,whale_volume,whale_pct,mean_trade,median_trade,max_trade,total_traded
"Bitcoin Up or Down - January 16, 8:15AM-8:30AM ET",58.1,1140,1140,418621.21546617703,100.0,367.21159251419033,130.7394,6173.64,418621.21546617703
"Bitcoin Up or Down - January 16, 6:45AM-7:00AM ET",104.4,556,556,187894.579086,100.0,337.939890442446,124.0,2725.5789,187894.579086
"Bitcoin Up or Down - January 16, 10PM ET",92025.02,481,479,71850.0,99.66460841009666,149.87898087318086,150.0,150.0,72091.7898
"Ethereum Up or Down - January 16, 11PM ET",83382.450783,479,475,71250.0,99.21881027107554,149.91853862212943,150.0,150.0,71810.98
"Bitcoin Up or Down - January 16, 10:00AM-10:15AM E",69.81,242,242,102299.6865654,100.0,422.7259775429753,372.0,2741.2293799999998,102299.6865654
"Ethereum Up or Down - January 16, 10:45AM-11:00AM ",59.4,204,204,262116.53747538442,100.0,1284.884987624433,299.999998,9800.0,262116.53747538442
"Bitcoin Up or Down - January 16, 8:45AM-9:00AM ET",70.0,124,124,37534.510994010554,100.0,302.69766930653674,134.30339999999998,2999.926512,37534.510994010554
"Bitcoin Up or Down - January 16, 12PM ET",200.0,107,107,78267.60225,100.0,731.4729182242991,699.29001,4012.94304,78267.60225
LoL: Team WE vs EDward Gaming - Game 2 Winner,146.05210299999996,101,101,80033.76265799999,100.0,792.4134916633662,399.6,5630.30289,80033.76265799999
"Bitcoin Up or Down - January 16, 10AM ET",200.0,78,78,42588.343239,100.0,546.0044005,327.547125,4995.0,42588.343239
Map Handicap: FURIA (-1.5),147.058822,76,76,53431.010136000004,100.0,703.0396070526316,244.74,9999.999999000001,53431.010136000004
Spread: Rockets (-3.5),7733.200503,88,70,60485.95,93.94776812902505,731.6196590909091,698.7,2522.0,64382.53
"Bitcoin Up or Down - January 16, 2PM ET",200.0,68,68,62595.212859,100.0,920.5178361617648,349.60859999999997,6338.5245,62595.212859
"Bitcoin Up or Down - January 16, 1PM ET",200.0,66,66,59297.278231,100.0,898.443609560606,706.0913249999999,5367.681,59297.278231
Spread: Clippers (-2.5),207.184896,66,66,35281.534021,100.0,534.5686972878788,248.88920000000002,3234.8851999999997,35281.534021
"Bitcoin Up or Down - January 16, 3PM ET",200.0,64,64,32044.423173,100.0,500.69411207812504,244.47528,4199.81598,32044.423173
